uid,namedLocation,domainID,siteID,plotID,subplotID,trapID,decimalLatitude,decimalLongitude,elevation,nlcdClass,plotType,geodeticDatum,coordinateUncertainty,elevationUncertainty,date,samplingProtocolVersion,targetTaxaPresent,trapType,trapPlacement,trapSize,remarks,recordedBy,publicationDate,release
a12313bb-d22a-4ecf-b46b-aca2790488ab,NIWO_062.basePlot.ltr,D13,NIWO,NIWO_062,31_400,NIWO_062_050,40.05114,-105.585787,3477,shrubScrub,tower,WGS84,10.1,0.1,2015-07-15,NEON.DOC.001710vB,Y,Elevated,Targeted,0.5,"measuredBy, recordedBy, and setDate not reported",tdelpriore@neoninc.org,20251206T000237Z,RELEASE-2026
ba61225e-8091-4fad-afbb-7c4e9bf4241f,NIWO_067.basePlot.ltr,D13,NIWO,NIWO_067,31_400,NIWO_067_017,40.04979,-105.585046,3443.5,grasslandHerbaceous,tower,WGS84,10.1,0.1,2015-07-15,NEON.DOC.001710vB,Y,Elevated,Targeted,0.5,"measuredBy, recordedBy, and setDate not reported",tdelpriore@neoninc.org,20251206T000237Z,RELEASE-2026
657189cd-a6cf-4f70-96e7-1a05910be2e2,NIWO_063.basePlot.ltr,D13,NIWO,NIWO_063,41_400,NIWO_063_210,40.04898,-105.585058,3432.7,shrubScrub,tower,WGS84,10.1,0.1,2015-07-15,NEON.DOC.001710vB,Y,Ground,Targeted,1.5,"measuredBy, recordedBy, and setDate not reported",tdelpriore@neoninc.org,20251206T000237Z,RELEASE-2026
3650c2d3-ad2c-452b-aa26-8f72a88ea3bd,NIWO_040.basePlot.ltr,D13,NIWO,NIWO_040,41_400,NIWO_040_205,40.046544,-105.58471,3365.1,evergreenForest,tower,WGS84,20.1,0.2,2015-07-15,NEON.DOC.001710vB,Y,Elevated,Targeted,0.5,"measuredBy, recordedBy, and setDate not reported",tdelpriore@neoninc.org,20251206T000237Z,RELEASE-2026
26665aa8-f423-4c1a-8f0f-5f71429729df,NIWO_061.basePlot.ltr,D13,NIWO,NIWO_061,31_400,NIWO_061_065,40.047617,-105.586104,3413.6,evergreenForest,tower,WGS84,10.2,0.2,2015-07-15,NEON.DOC.001710vB,Y,Ground,Targeted,1.5,"measuredBy, recordedBy, and setDate not reported",tdelpriore@neoninc.org,20251206T000237Z,RELEASE-2026
4b852be9-22ef-4a6b-ba16-7b4734def52f,NIWO_047.basePlot.ltr,D13,NIWO,NIWO_047,31_400,NIWO_047_120,40.054657,-105.584398,3510.1,grasslandHerbaceous,tower,WGS84,10.1,0.1,2015-07-15,NEON.DOC.001710vB,Y,Ground,Targeted,1.5,"measuredBy, recordedBy, and setDate not reported",tdelpriore@neoninc.org,20251206T000237Z,RELEASE-2026
d1652721-f5a0-48d6-8b94-ffde16072e8d,NIWO_051.basePlot.ltr,D13,NIWO,NIWO_051,31_400,NIWO_051_045,40.048439,-105.585417,3427.4,grasslandHerbaceous,tower,WGS84,10.1,0.1,2015-07-15,NEON.DOC.001710vB,Y,Elevated,Targeted,0.5,"measuredBy, recordedBy, and setDate not reported",tdelpriore@neoninc.org,20251206T000237Z,RELEASE-2026
a1f45070-472a-474a-9902-222e874d4a27,NIWO_062.basePlot.ltr,D13,NIWO,NIWO_062,31_400,NIWO_062_092,40.05114,-105.585787,3477,shrubScrub,tower,WGS84,10.1,0.1,2015-07-15,NEON.DOC.001710vB,Y,Ground,Targeted,1.5,"measuredBy, recordedBy, and setDate not reported",tdelpriore@neoninc.org,20251206T000237Z,RELEASE-2026
fa114868-25f4-48d1-bb85-a7f96b7519ab,NIWO_067.basePlot.ltr,D13,NIWO,NIWO_067,31_400,NIWO_067_043,40.04979,-105.585046,3443.5,grasslandHerbaceous,tower,WGS84,10.1,0.1,2015-07-15,NEON.DOC.001710vB,Y,Ground,Targeted,1.5,"measuredBy, recordedBy, and setDate not reported",tdelpriore@neoninc.org,20251206T000237Z,RELEASE-2026
93a9b380-c36e-4ecc-8464-09439da968db,NIWO_041.basePlot.ltr,D13,NIWO,NIWO_041,31_400,NIWO_041_059,40.05035,-105.582964,3425.4,shrubScrub,tower,WGS84,20.1,0.1,2015-07-15,NEON.DOC.001710vB,Y,Elevated,Targeted,0.5,"measuredBy, recordedBy, and setDate not reported",tdelpriore@neoninc.org,20251206T000237Z,RELEASE-2026
95c5c94a-3edc-4dbb-83d7-2f99ed79e597,NIWO_058.basePlot.ltr,D13,NIWO,NIWO_058,31_400,NIWO_058_121,40.048719,-105.58718,3446.4,shrubScrub,tower,WGS84,10.1,0.1,2015-07-15,NEON.DOC.001710vB,Y,Ground,Targeted,1.5,"measuredBy, recordedBy, and setDate not reported",tdelpriore@neoninc.org,20251206T000237Z,RELEASE-2026
3f53283f-0148-4eab-96f5-aaafb3f6d14c,NIWO_058.basePlot.ltr,D13,NIWO,NIWO_058,31_400,NIWO_058_101,40.048719,-105.58718,3446.4,shrubScrub,tower,WGS84,10.1,0.1,2015-07-15,NEON.DOC.001710vB,Y,Elevated,Targeted,0.5,"measuredBy, recordedBy, and setDate not reported",tdelpriore@neoninc.org,20251206T000237Z,RELEASE-2026
bf65c956-9407-4a1b-8822-44cb53ee5c9e,NIWO_040.basePlot.ltr,D13,NIWO,NIWO_040,41_400,NIWO_040_139,40.046544,-105.58471,3365.1,evergreenForest,tower,WGS84,20.1,0.2,2015-07-15,NEON.DOC.001710vB,Y,Ground,Targeted,1.5,"measuredBy, recordedBy, and setDate not reported",tdelpriore@neoninc.org,20251206T000237Z,RELEASE-2026
3db5d6f5-9dee-446e-9313-f8ca59d45ef0,NIWO_046.basePlot.ltr,D13,NIWO,NIWO_046,31_400,NIWO_046_006,40.048158,-105.586127,3426.9,shrubScrub,tower,WGS84,10.1,0.1,2015-07-15,NEON.DOC.001710vB,Y,Ground,Targeted,1.5,"measuredBy, recordedBy, and setDate not reported",tdelpriore@neoninc.org,20251206T000237Z,RELEASE-2026
b8c8ba58-5014-4357-b9b3-fd1173e2354a,NIWO_041.basePlot.ltr,D13,NIWO,NIWO_041,41_400,NIWO_041_144,40.05035,-105.582964,3425.4,shrubScrub,tower,WGS84,20.1,0.1,2015-07-15,NEON.DOC.001710vB,Y,Ground,Targeted,1.5,"measuredBy, recordedBy, and setDate not reported",tdelpriore@neoninc.org,20251206T000237Z,RELEASE-2026
027b8fb8-e029-4ada-8b06-aa9e3b76d86f,NIWO_064.basePlot.ltr,D13,NIWO,NIWO_064,31_400,NIWO_064_159,40.04737,-105.583997,3373.2,evergreenForest,tower,WGS84,10.1,0.1,2015-07-15,NEON.DOC.001710vB,Y,Ground,Targeted,1.5,"measuredBy, recordedBy, and setDate not reported",tdelpriore@neoninc.org,20251206T000237Z,RELEASE-2026
6bb28cb2-dfe6-45c7-87a6-b344d78ff219,NIWO_057.basePlot.ltr,D13,NIWO,NIWO_057,31_400,NIWO_057_095,40.04708,-105.585066,3383.4,evergreenForest,tower,WGS84,10.3,0.4,2015-07-15,NEON.DOC.001710vB,Y,Ground,Targeted,1.5,"measuredBy, recordedBy, and setDate not reported",tdelpriore@neoninc.org,20251206T000237Z,RELEASE-2026
d68079f6-c847-41a1-bee4-88334622ee1d,NIWO_064.basePlot.ltr,D13,NIWO,NIWO_064,31_400,NIWO_064_103,40.04737,-105.583997,3373.2,evergreenForest,tower,WGS84,10.1,0.1,2015-07-15,NEON.DOC.001710vB,Y,Elevated,Targeted,0.5,"measuredBy, recordedBy, and setDate not reported",tdelpriore@neoninc.org,20251206T000237Z,RELEASE-2026
11dd2df8-9593-462a-b158-196ba1ad03fa,NIWO_051.basePlot.ltr,D13,NIWO,NIWO_051,31_400,NIWO_051_103,40.048439,-105.585417,3427.4,grasslandHerbaceous,tower,WGS84,10.1,0.1,2015-07-15,NEON.DOC.001710vB,Y,Ground,Targeted,1.5,"measuredBy, recordedBy, and setDate not reported",tdelpriore@neoninc.org,20251206T000237Z,RELEASE-2026
