gbifID	type	format	identifier	references	title	description	source	audience	created	creator	contributor	publisher	license	rightsHolder
911507553	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/914842/original.JPG	https://www.inaturalist.org/photos/914842					2013-08-11T09:57:46Z	jennyliu		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	jennyliu
911506779	StillImage	image/png	https://inaturalist-open-data.s3.amazonaws.com/photos/911953/original.PNG	https://www.inaturalist.org/photos/911953					2014-05-31T00:00:00Z	stowne		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	stowne
911506678	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/911452/original.jpg	https://www.inaturalist.org/photos/911452					2014-06-07T13:30:13Z	samrathb		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	samrathb
911506645	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/911411/original.JPG	https://www.inaturalist.org/photos/911411					2014-04-22T16:21:19Z	wenwenm183		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	wenwenm183
911506591	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/910934/original.JPG	https://www.inaturalist.org/photos/910934					2014-04-13T11:25:37Z	joannazhang13		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	joannazhang13
911506044	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/908974/original.JPG	https://www.inaturalist.org/photos/908974					2014-03-26T22:34:48Z	shilohjin		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	shilohjin
911504950	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/904747/original.jpg	https://www.inaturalist.org/photos/904747					2014-04-25T19:56:15Z	zhazerjian		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	zhazerjian
911504192	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/901154/original.jpg	https://www.inaturalist.org/photos/901154					2014-05-31T00:00:00Z	lizaferguson		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	lizaferguson
899979271	StillImage	application/octet-stream	https://inaturalist-open-data.s3.amazonaws.com/photos/827188/original.jpg	https://www.inaturalist.org/photos/827188					2014-05-02T19:42:50Z	Stephanie Panlasigui		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Stephanie Panlasigui
899966160	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/779470/original.jpg	https://www.inaturalist.org/photos/779470					2014-04-11T16:35:01Z	Suzanne Cadwell		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Suzanne Cadwell
899964060	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/772592/original.JPG	https://www.inaturalist.org/photos/772592					2003-01-01T00:00:00Z	selang		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	selang
899963899	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/772160/original.JPG	https://www.inaturalist.org/photos/772160					2014-04-07T17:52:10Z	chagalmarciano		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	chagalmarciano
899963899	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/772164/original.JPG	https://www.inaturalist.org/photos/772164					2014-04-07T17:52:10Z	chagalmarciano		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	chagalmarciano
