id,state,state_abb,state_id,county,county_id,operator,ref,name,sqft,lon,lat,type
00002744301,New Jersey,NJ,34,Middlesex County,023,,,Verizon,105786.0,-74.49652096447575,40.54425557630532,building
00009474864,North Carolina,NC,37,Caldwell County,027,Google,,Google Data Center,3407194.0,-81.54651452543965,35.89473769568106,campus
00013924557,Iowa,IA,19,Polk County,153,Microsoft,,Project Alluvion,11169421.0,-93.71182964871085,41.515966831711985,campus
00014593270,North Carolina,NC,37,Catawba County,035,,,Apple - Maiden Data Center,5431080.0,-81.26180877040838,35.588771360781784,campus
00014930068,New Mexico,NM,35,Bernalillo County,001,Sandia National Laboratories,880,HPC,158463.0,-106.54282203991323,35.04994198074902,building
00014997588,Virginia,VA,51,Henrico County,087,Meta,,Meta Henrico Data Center,4671056.0,-77.23645509442149,37.482763284885785,campus
00015884451,New Jersey,NJ,34,Union County,039,Barclays,,Barclays Datacenter,94373.0,-74.28548116880219,40.64375303338713,building
00016282459,Maryland,MD,24,Anne Arundel County,003,AiNET,,CyberNAP Glen Burnie,89879.0,-76.60643112453295,39.14024170717737,building
00018518989,Alabama,AL,01,Madison County,089,Meta,,Meta Huntsville Data Center,14435561.0,-86.62831680386925,34.844244678024516,campus
00019390019,North Dakota,ND,38,Cass County,017,,,Dakota Carrier Network,25931.0,-96.84432644156146,46.81509687104177,building
00019787207,Virginia,VA,51,Prince William County,153,Microsoft,1,Microsoft Data Center 1,248706.0,-77.58237918867958,38.8024111256264,building
00019988712,Oregon,OR,41,Crook County,013,Meta,,Meta Prineville Datacenter,17379079.0,-120.88638228128598,44.29844323079028,campus
00019993392,Oregon,OR,41,Crook County,013,Apple,,Apple Prineville Datacenter,15637431.0,-120.86588333153831,44.28455821302781,campus
00025706343,Texas,TX,48,Tarrant County,439,Cyxtera,,Cyxtera Dallas-Fort Worth Data Center,309104.0,-97.0410416432689,32.83271789571454,building
00028544618,Texas,TX,48,Dallas County,113,Equinix,,Equinix Infomart,239835.0,-96.81951054637986,32.800943222986994,building
00029827954,Massachusetts,MA,25,Middlesex County,017,,BO1,CoreSite BO1,133960.0,-71.07975761756323,42.37670588382176,building
00030666790,California,CA,06,Los Angeles County,037,United States Postal Service,,USPO Terminal Annex,99270.0,-118.23539293645689,34.05810223824728,building
00030827429,Texas,TX,48,Dallas County,113,,,DataBank,43564.0,-96.79843729449847,32.77830147632332,building
00031250931,Ohio,OH,39,Warren County,165,CyrusOne,CIN3,CyrusOne Cincinnati-Mason CIN3,82813.0,-84.31157999997258,39.303895806613035,building
00031800424,California,CA,06,San Diego County,073,,,LightEdge SAN1,83576.0,-117.12993394622255,32.827865524456854,building
00031803515,California,CA,06,San Diego County,073,EdgeConneX,,EdgeConneX San Diego,39204.0,-117.1693449894231,32.842308661647536,building
00032560290,California,CA,06,Sacramento County,067,NTT,CA2,RagingWire CA2,204702.0,-121.49194609960875,38.6503995314376,building
00032560292,California,CA,06,Sacramento County,067,NTT,CA1,RagingWire CA1,192302.0,-121.48918647250004,38.65043183405982,building
00034770750,Georgia,GA,13,Fulton County,121,,,Hewlett-Packard,1294301.0,-84.26744994290632,34.0822260639216,campus
00035491576,California,CA,06,Santa Clara County,085,Equinix,SV1,Equinix SV1,135022.0,-121.7833201255276,37.241586803667886,building
00036897140,Ohio,OH,39,Hamilton County,061,,,,13074.0,-84.41211321346512,39.29404817733801,building
00037877544,California,CA,06,Santa Clara County,085,Lumen Technologies,,Lumen Sunnyvale 1,77132.0,-121.98781298697565,37.37343914789955,building
00037947313,California,CA,06,Santa Clara County,085,,,OpenColo,65471.0,-121.95593725165453,37.37881629201175,building
00037947314,California,CA,06,Santa Clara County,085,Equinix,SV2,Equinix Santa Clara SV2,81106.0,-121.95499188020412,37.378433690080165,building
00037947315,California,CA,06,Santa Clara County,085,Layer42,,Layer42 Santa Clara,25031.0,-121.95415110304295,37.378039948434136,building
00038305431,California,CA,06,Santa Clara County,085,Digital Realty,,Digital Realty Silicon Valley SJC34,129242.0,-121.97361948715526,37.37238819523252,building
00038305568,California,CA,06,Santa Clara County,085,Csquare,,Csquare SFO1,92193.0,-121.96969744738088,37.371519049598696,building
00038305611,California,CA,06,Santa Clara County,085,Vantage,,,89293.0,-121.97269293993045,37.37338590954395,building
00039083541,Georgia,GA,13,Fulton County,121,,,Strategic Datasphere,127487.0,-84.23569669904141,34.09479739753544,building
00039083797,Georgia,GA,13,Fulton County,121,Flexential,,Flexential Atlanta - Alpharetta Data Center,74814.0,-84.25175214535511,34.08700522087238,building
00039083830,Georgia,GA,13,Fulton County,121,,,Secure Data Center,184012.0,-84.25087563127063,34.09370761226,building
00040608200,California,CA,06,Santa Clara County,085,Cologix,SV1,Cologix Santa Clara SV1 Data Center,80686.0,-121.96170042164619,37.365332809551084,building
00042323063,Missouri,MO,29,St. Louis city,510,,,Netrality Data Centers,23093.0,-90.197174834978,38.62926158352849,building
00045448535,Minnesota,MN,27,Hennepin County,053,,,,51180.0,-93.28029157225949,44.99145768142225,building
00045583050,Virginia,VA,51,Prince William County,153,,,,52906.0,-77.51057747962513,38.80341459582856,building
00045776978,Virginia,VA,51,Prince William County,153,Amazon Web Services,Amazon IAD11,Amazon IAD11,122474.0,-77.54111111954948,38.790500006452135,building
00045776979,Virginia,VA,51,Prince William County,153,Amazon Web Services,IAD24,Amazon IAD24,31388.0,-77.54000633908686,38.79035015175034,building
00045776988,Virginia,VA,51,Prince William County,153,Amazon Web Services,Amazon IAD-7,Amazon IAD7,109423.0,-77.53827709301147,38.791203751967444,building
00046128119,Ohio,OH,39,Hamilton County,061,CyrusOne,CIN2,CyrusOne CIN2,29534.0,-84.51789753744696,39.102694860367215,building
00046831933,Virginia,VA,51,Prince William County,153,Digital Realty,,VA 4,263538.0,-77.594876153305,38.778111268742116,building
00048242814,Virginia,VA,51,Loudoun County,107,Amazon Web Services,IAD10,Amazon IAD10,112726.0,-77.43287558139869,39.0216455535984,building
00048242816,Virginia,VA,51,Loudoun County,107,Amazon Web Services,IAD32,Amazon IAD32,35700.0,-77.43479445422666,39.021569324291804,building
00052059176,Oregon,OR,41,Washington County,067,NTT,,NTT RagingWire Data Center,260339.0,-122.93739288182853,45.549583992290586,building
00052094269,Virginia,VA,51,Loudoun County,107,Centersquare,IAD1-B,Centersquare IAD1-B,79070.0,-77.41518975933123,39.02390730425034,building
00052094270,Virginia,VA,51,Loudoun County,107,Centersquare,IAD1-A,Centersquare IAD1-A,89830.0,-77.4132010228583,39.023321212075864,building
00052094294,Virginia,VA,51,Loudoun County,107,Centersquare,IAD1-C,Centersquare IAD1-C,135383.0,-77.41220365945969,39.02475554990798,building
00052227492,Minnesota,MN,27,Carver County,019,Flexential,,Flexential Minneapolis - Chaska,135505.0,-93.59883127427163,44.851592871190945,building
00052958203,Colorado,CO,08,Denver County,031,,,Pearl Plaza Office Building,48787.0,-104.97933224935198,39.74523035286353,building
00054119665,California,CA,06,Santa Clara County,085,Csquare,SFO2,Csquare SFO2,146098.0,-121.98086935105141,37.39757919675742,building
00054119667,California,CA,06,Santa Clara County,085,Csquare,SFO2,Csquare SFO2,115693.0,-121.98111165280665,37.39861833320087,building
00054121151,California,CA,06,Santa Clara County,085,Quality Technology Services,,QTS Santa Clara 1,32173.0,-121.97830969442313,37.39398377756207,building
00054173383,California,CA,06,Santa Clara County,085,CoreSite,SV3,CoreSite SV3,57809.0,-121.97170937322579,37.37514209318246,building
00054173753,California,CA,06,Santa Clara County,085,CoreSite,SV6,CoreSite SV6,61065.0,-121.97208379973041,37.37630188023717,building
